tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
5,33,144,0.288,Mercat de la Boqueria,El Raval,Food
5,34,41,0.17083333333333334,Mercat de Sant Antoni,Sant Antoni,Food
5,35,4,0.022222222222222223,Mercat de Santa Caterina,El Born,Food
5,36,23,0.14375,Mercat de la Concepcio,Sant Antoni,Food
5,37,76,0.19,Mercat dels Encants,Poblenou,History
5,38,39,0.024375,Barceloneta Beach,La Barceloneta,Nature
5,39,2,0.002,Port Vell (Promenade),Barri Gotic,History
5,40,1,0.004166666666666667,Aquarium Barcelona,Barri Gotic,Nature
5,41,0,0.0,Maritime Museum,Barri Gotic,History
5,42,5,0.025,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
5,43,1,0.01,El Born Cultural Center,El Born,History
5,44,21,0.175,Parc de la Creueta del Coll,Horta-Guinardo,Nature
5,45,6,0.0375,Parc de l'Espanya Industrial,Sants,Nature
5,46,94,0.39166666666666666,Parc Central de Nou Barris,Nou Barris,Nature
5,47,61,0.38125,Parc del Turo de la Peira,Nou Barris,Nature
5,48,6,0.075,Torre Glories Viewpoint,Poblenou,Art
5,49,102,0.17,Parc Diagonal Mar,Poblenou,Nature
5,50,112,0.14,Forum Building / Forum Park,Poblenou,History
6,1,10,0.03333333333333333,Sagrada Familia,Eixample,Religious
6,2,23,0.16428571428571428,Parc Guell,Gracia,Nature
6,3,31,0.019375,La Rambla,Barri Gotic,History
6,4,23,0.14375,Santa Maria del Mar,El Born,Religious
6,5,1,0.0125,Casa Batllo,Eixample,Art
6,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
6,7,8,0.018639328984156572,Palau de la Musica Catalana,El Born,Art
6,8,0,0.0,Hospital de Sant Pau,Eixample,History
6,9,33,0.1375,Barcelona Cathedral,Barri Gotic,Religious
6,10,20,0.16666666666666666,Basilica de Santa Maria del Pi,Barri Gotic,Religious
6,11,36,0.72,Palau Guell,El Raval,Art
6,12,83,0.6916666666666667,MACBA Museum,El Raval,Art
6,13,71,0.71,CCCB Center,El Raval,Art
6,14,38,0.95,Sant Pau del Camp,El Raval,Religious
6,15,10,0.16666666666666666,Church of Sant Josep Oriol,Barri Gotic,Religious
6,16,13,0.14444444444444443,Picasso Museum,El Born,Art
6,17,17,0.2125,Fundacio Joan Miro,Montjuic,Art
6,18,39,0.0975,MNAC (Palau Nacional),Montjuic,Art
6,19,44,0.088,Barcelona Zoo,Ciutadella,Nature
6,20,106,0.106,Parc de la Ciutadella,Ciutadella,Nature
6,21,14,0.04666666666666667,Castell de Montjuic,Montjuic,History
6,22,118,0.07375,Magic Fountain of Montjuic,Montjuic,History
6,23,31,0.04428571428571428,Poble Espanyol,Montjuic,History
6,24,95,0.008493366233952008,Estadi Olimpic Lluis Companys,Montjuic,History
6,25,10,0.14285714285714285,Montjuic Cable Car (Teleferic),Montjuic,Nature
