tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
3,18,0,0.0,MNAC (Palau Nacional),Montjuic,Art
3,19,48,0.096,Barcelona Zoo,Ciutadella,Nature
3,20,485,0.485,Parc de la Ciutadella,Ciutadella,Nature
3,21,10,0.03333333333333333,Castell de Montjuic,Montjuic,History
3,22,79,0.049375,Magic Fountain of Montjuic,Montjuic,History
3,23,4,0.005714285714285714,Poble Espanyol,Montjuic,History
3,24,52,0.004649000464900046,Estadi Olimpic Lluis Companys,Montjuic,History
3,25,41,0.5857142857142857,Montjuic Cable Car (Teleferic),Montjuic,Nature
3,26,0,0.0,Laberint d'Horta,Horta-Guinardo,Nature
3,27,0,0.0,Bunkers del Carmel,Horta-Guinardo,Nature
3,28,29,0.12083333333333333,CosmoCaixa,Horta-Guinardo,Art
3,29,0,0.0,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
3,30,5,0.1,Casa Vicens,Gracia,Art
3,31,0,0.0,Camp Nou Stadium,Les Corts,History
3,32,2,0.0125,FC Barcelona Museum,Les Corts,History
3,33,50,0.1,Mercat de la Boqueria,El Raval,Food
3,34,58,0.24166666666666667,Mercat de Sant Antoni,Sant Antoni,Food
3,35,0,0.0,Mercat de Santa Caterina,El Born,Food
3,36,73,0.45625,Mercat de la Concepcio,Sant Antoni,Food
3,37,72,0.18,Mercat dels Encants,Poblenou,History
3,38,29,0.018125,Barceloneta Beach,La Barceloneta,Nature
3,39,3,0.003,Port Vell (Promenade),Barri Gotic,History
3,40,0,0.0,Aquarium Barcelona,Barri Gotic,Nature
3,41,9,0.075,Maritime Museum,Barri Gotic,History
3,42,0,0.0,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
3,43,0,0.0,El Born Cultural Center,El Born,History
3,44,0,0.0,Parc de la Creueta del Coll,Horta-Guinardo,Nature
3,45,5,0.03125,Parc de l'Espanya Industrial,Sants,Nature
3,46,31,0.12916666666666668,Parc Central de Nou Barris,Nou Barris,Nature
3,47,0,0.0,Parc del Turo de la Peira,Nou Barris,Nature
3,48,0,0.0,Torre Glories Viewpoint,Poblenou,Art
